Altitude,Acidity,Caffeine_Content,Roast_Level,Density,Species
1800,4.2,1.2,1,0.72,Arabica Premium
600,6.1,2.7,3,1.05,Robusta Commercial
1100,5.5,1.8,2,0.88,Liberica Rare
1500,4.8,1.4,1,0.75,Excelsa Bold
2100,3.9,1.1,1,0.69,Arabica Premium
450,6.5,3.1,3,1.10,Robusta Commercial
950,5.2,2.0,2,0.91,Liberica Rare
1650,4.5,1.3,2,0.78,Arabica Premium
700,6.3,2.9,3,1.08,Robusta Commercial
1400,5.0,1.6,1,0.80,Excelsa Bold
2000,4.0,1.0,1,0.68,Arabica Premium
550,6.4,3.0,3,1.09,Robusta Commercial
1200,5.3,1.9,2,0.89,Liberica Rare
1550,4.7,1.5,1,0.77,Excelsa Bold
1900,4.1,1.1,1,0.70,Arabica Premium
500,6.6,3.2,3,1.11,Robusta Commercial
1050,5.4,2.1,2,0.90,Liberica Rare
1700,4.4,1.2,2,0.74,Arabica Premium
650,6.2,2.8,3,1.07,Robusta Commercial
1350,4.9,1.7,1,0.81,Excelsa Bold
2200,3.8,1.0,1,0.67,Arabica Premium
400,6.7,3.3,3,1.12,Robusta Commercial
1150,5.6,2.2,2,0.92,Liberica Rare
1450,4.6,1.4,1,0.76,Excelsa Bold
2050,4.1,1.1,1,0.69,Arabica Premium
480,6.5,3.0,3,1.10,Robusta Commercial
980,5.3,2.0,2,0.90,Liberica Rare
1600,4.5,1.3,2,0.77,Arabica Premium
720,6.3,2.9,3,1.08,Robusta Commercial
1380,5.0,1.6,1,0.80,Excelsa Bold
1850,4.2,1.2,1,0.71,Arabica Premium
580,6.4,3.1,3,1.09,Robusta Commercial
1080,5.1,1.8,2,0.87,Liberica Rare
1520,4.8,1.5,1,0.78,Excelsa Bold
2150,3.9,1.0,1,0.68,Arabica Premium
420,6.6,3.2,3,1.11,Robusta Commercial
1020,5.4,2.1,2,0.91,Liberica Rare
1720,4.3,1.2,1,0.73,Arabica Premium
660,6.2,2.8,3,1.07,Robusta Commercial
1420,4.9,1.7,1,0.82,Excelsa Bold
1950,4.0,1.1,1,0.70,Arabica Premium
530,6.5,3.0,3,1.10,Robusta Commercial
1130,5.5,2.2,2,0.93,Liberica Rare
1480,4.7,1.4,1,0.76,Excelsa Bold
2080,4.1,1.1,1,0.69,Arabica Premium
460,6.7,3.3,3,1.12,Robusta Commercial
1000,5.2,1.9,2,0.89,Liberica Rare
1580,4.6,1.3,2,0.76,Arabica Premium
680,6.3,2.9,3,1.08,Robusta Commercial
1360,5.0,1.6,1,0.81,Excelsa Bold
1820,4.2,1.2,1,0.72,Arabica Premium
560,6.4,3.1,3,1.09,Robusta Commercial
1060,5.3,2.0,2,0.90,Liberica Rare
1540,4.8,1.5,1,0.79,Excelsa Bold
2120,3.9,1.0,1,0.67,Arabica Premium
510,6.6,3.2,3,1.11,Robusta Commercial
1040,5.4,2.1,2,0.91,Liberica Rare
1680,4.4,1.2,1,0.74,Arabica Premium
630,6.2,2.8,3,1.06,Robusta Commercial
1390,4.9,1.7,1,0.83,Excelsa Bold
1870,4.1,1.1,1,0.70,Arabica Premium
440,6.7,3.3,3,1.13,Robusta Commercial
1170,5.6,2.3,2,0.93,Liberica Rare
1460,4.6,1.4,1,0.75,Excelsa Bold
2030,4.0,1.1,1,0.68,Arabica Premium
490,6.5,3.0,3,1.10,Robusta Commercial
990,5.2,2.0,2,0.88,Liberica Rare
1630,4.5,1.3,2,0.77,Arabica Premium
710,6.3,2.9,3,1.08,Robusta Commercial
1410,5.0,1.6,1,0.80,Excelsa Bold
2250,3.8,1.0,1,0.66,Arabica Premium
390,6.8,3.4,3,1.14,Robusta Commercial
1190,5.5,2.2,2,0.92,Liberica Rare
1490,4.7,1.5,1,0.77,Excelsa Bold
1980,4.0,1.1,1,0.69,Arabica Premium
570,6.4,3.1,3,1.09,Robusta Commercial
1070,5.3,2.0,2,0.90,Liberica Rare
1560,4.6,1.3,2,0.76,Arabica Premium
640,6.2,2.8,3,1.07,Robusta Commercial
1430,4.9,1.7,1,0.82,Excelsa Bold
2180,3.9,1.0,1,0.67,Arabica Premium
410,6.6,3.2,3,1.12,Robusta Commercial
1120,5.5,2.1,2,0.91,Liberica Rare
1510,4.8,1.4,1,0.78,Excelsa Bold
1910,4.1,1.1,1,0.70,Arabica Premium
475,6.5,3.0,3,1.10,Robusta Commercial
1015,5.3,1.9,2,0.89,Liberica Rare
1745,4.4,1.2,2,0.73,Arabica Premium
695,6.3,2.9,3,1.07,Robusta Commercial
1365,5.0,1.6,1,0.80,Excelsa Bold
2070,4.0,1.1,1,0.68,Arabica Premium
520,6.6,3.1,3,1.11,Robusta Commercial
1145,5.4,2.2,2,0.92,Liberica Rare
1475,4.7,1.4,1,0.76,Excelsa Bold
1835,4.2,1.2,1,0.71,Arabica Premium
545,6.5,3.0,3,1.10,Robusta Commercial
1035,5.2,2.0,2,0.89,Liberica Rare
1615,4.5,1.3,1,0.77,Arabica Premium
675,6.3,2.8,3,1.06,Robusta Commercial
1395,4.9,1.7,1,0.81,Excelsa Bold
